"","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"1",-6688.88635296964,-6654.70879247992,-6648.06577619899,-6668.47308188242,-6694.51517716901,-6726.23573712228,-6763.66577757132,-6806.82875468467,-6855.74324567549,-6910.42449394014,-6970.88536275583,-7037.13695597631,-7109.18903947551,-7187.05033739106
