"","sim","G","sampler","relabalg","ellipsealg","thamesalg","estimate","value","T"
"75","1","5","unknown","ECR","standard","simple","estim","-0.0514346935015055","1e+05"
"76","1","5","unknown","ECR","standard","bridge","estim","-4.7832168210939","1e+05"
"77","1","5","unknown","ECR","standard","simple","lower","-1.21308364189963","1e+05"
"78","1","5","unknown","ECR","standard","bridge","lower","-4.76178712316641","1e+05"
"79","1","5","unknown","ECR","standard","simple","logcor","-5.49921030892743","1e+05"
"80","1","5","unknown","ECR","standard","bridge","logcor","-4.80511582644385","1e+05"
"81","1","5","unknown","ECR","standard","simple","permlen","1","1e+05"
"82","1","5","unknown","ECR","standard","bridge","permlen","-4.7832168210939","1e+05"
"83","1","5","unknown","ECR","standard","simple","alpha","0.50106","1e+05"
"84","1","5","unknown","ECR","standard","bridge","alpha","-4.76178712316641","1e+05"
"85","1","5","GIBBS","ECR","standard","simple","upper","2.4609195507046","2e+05"
"86","1","5","GIBBS","ECR","standard","bridge","upper","-4.78914636981426","2e+05"
"87","1","5","GIBBS","ECR","standard","simple","estim","-0.0315603180793005","2e+05"
"88","1","5","GIBBS","ECR","standard","bridge","estim","-4.77365570698475","2e+05"
"89","1","5","GIBBS","ECR","standard","simple","lower","-1.18402192921894","2e+05"
"90","1","5","GIBBS","ECR","standard","bridge","lower","-4.75840134892542","2e+05"
"91","1","5","GIBBS","ECR","standard","simple","logcor","-5.62266342337141","2e+05"
"92","1","5","GIBBS","ECR","standard","bridge","logcor","-4.78914636981426","2e+05"
"93","1","5","GIBBS","ECR","standard","simple","permlen","1","2e+05"
"94","1","5","GIBBS","ECR","standard","bridge","permlen","-4.77365570698475","2e+05"
"95","1","5","GIBBS","ECR","standard","simple","alpha","0.5","2e+05"
"96","1","5","GIBBS","ECR","standard","bridge","alpha","-4.75840134892542","2e+05"
