"","sim","G","sampler","relabalg","ellipsealg","thamesalg","estimate","value","T"
"75","1","15","unknown","ECR","standard","simple","estim","0.00796138602663632","1e+05"
"76","1","15","unknown","ECR","standard","bridge","estim","-27.9518910133729","1e+05"
"77","1","15","unknown","ECR","standard","simple","lower","-0.661637577751208","1e+05"
"78","1","15","unknown","ECR","standard","bridge","lower","-27.9312951457568","1e+05"
"79","1","15","unknown","ECR","standard","simple","logcor","-2.99493259338343","1e+05"
"80","1","15","unknown","ECR","standard","bridge","logcor","-27.9729200069896","1e+05"
"81","1","15","unknown","ECR","standard","simple","permlen","1","1e+05"
"82","1","15","unknown","ECR","standard","bridge","permlen","-27.9518910133729","1e+05"
"83","1","15","unknown","ECR","standard","simple","alpha","0.50014","1e+05"
"84","1","15","unknown","ECR","standard","bridge","alpha","-27.9312951457568","1e+05"
"85","1","15","GIBBS","ECR","standard","simple","upper","2.19345061085824","2e+05"
"86","1","15","GIBBS","ECR","standard","bridge","upper","-27.9592258195535","2e+05"
"87","1","15","GIBBS","ECR","standard","simple","estim","-0.0292563952343698","2e+05"
"88","1","15","GIBBS","ECR","standard","bridge","estim","-27.9452874804897","2e+05"
"89","1","15","GIBBS","ECR","standard","simple","lower","-0.865609750642307","2e+05"
"90","1","15","GIBBS","ECR","standard","bridge","lower","-27.9315407510612","2e+05"
"91","1","15","GIBBS","ECR","standard","simple","logcor","-3.16084279361759","2e+05"
"92","1","15","GIBBS","ECR","standard","bridge","logcor","-27.9592258195535","2e+05"
"93","1","15","GIBBS","ECR","standard","simple","permlen","1","2e+05"
"94","1","15","GIBBS","ECR","standard","bridge","permlen","-27.9452874804897","2e+05"
"95","1","15","GIBBS","ECR","standard","simple","alpha","0.5","2e+05"
"96","1","15","GIBBS","ECR","standard","bridge","alpha","-27.9315407510612","2e+05"
