"","sim","G","sampler","relabalg","ellipsealg","thamesalg","estimate","value"
"91","11","6","JAGS","ECR","standard","permutations","upper","-222.736394265363"
"92","12","6","JAGS","ECR","standard","permutations","upper","-223.628315488387"
"93","13","6","JAGS","ECR","standard","permutations","upper","-222.744855307067"
"94","14","6","JAGS","ECR","standard","permutations","upper","-222.761637855276"
"95","15","6","JAGS","ECR","standard","permutations","upper","-223.191498881695"
"96","16","6","JAGS","ECR","standard","permutations","upper","-222.769134994957"
"97","17","6","JAGS","ECR","standard","permutations","upper","-223.272951498093"
"98","18","6","JAGS","ECR","standard","permutations","upper","-223.508843369402"
"99","19","6","JAGS","ECR","standard","permutations","upper","-223.638374442389"
"100","20","6","JAGS","ECR","standard","permutations","upper","-222.800036052715"
"101","1","2","STAN","ECR","standard","permutations","upper",NA
"102","2","2","STAN","ECR","standard","permutations","upper",NA
"103","3","2","STAN","ECR","standard","permutations","upper",NA
"104","4","2","STAN","ECR","standard","permutations","upper",NA
"105","5","2","STAN","ECR","standard","permutations","upper",NA
"106","6","2","STAN","ECR","standard","permutations","upper",NA
"107","7","2","STAN","ECR","standard","permutations","upper",NA
"108","8","2","STAN","ECR","standard","permutations","upper",NA
"109","9","2","STAN","ECR","standard","permutations","upper",NA
"110","10","2","STAN","ECR","standard","permutations","upper",NA
"111","11","2","STAN","ECR","standard","permutations","upper",NA
"112","12","2","STAN","ECR","standard","permutations","upper",NA
"113","13","2","STAN","ECR","standard","permutations","upper",NA
"114","14","2","STAN","ECR","standard","permutations","upper",NA
"115","15","2","STAN","ECR","standard","permutations","upper",NA
"116","16","2","STAN","ECR","standard","permutations","upper",NA
"117","17","2","STAN","ECR","standard","permutations","upper",NA
"118","18","2","STAN","ECR","standard","permutations","upper",NA
"119","19","2","STAN","ECR","standard","permutations","upper",NA
"120","20","2","STAN","ECR","standard","permutations","upper",NA
"121","1","3","STAN","ECR","standard","permutations","upper",NA
"122","2","3","STAN","ECR","standard","permutations","upper",NA
"123","3","3","STAN","ECR","standard","permutations","upper",NA
"124","4","3","STAN","ECR","standard","permutations","upper",NA
"125","5","3","STAN","ECR","standard","permutations","upper",NA
"126","6","3","STAN","ECR","standard","permutations","upper",NA
"127","7","3","STAN","ECR","standard","permutations","upper",NA
"128","8","3","STAN","ECR","standard","permutations","upper",NA
"129","9","3","STAN","ECR","standard","permutations","upper",NA
"130","10","3","STAN","ECR","standard","permutations","upper",NA
"131","11","3","STAN","ECR","standard","permutations","upper",NA
"132","12","3","STAN","ECR","standard","permutations","upper",NA
"133","13","3","STAN","ECR","standard","permutations","upper",NA
"134","14","3","STAN","ECR","standard","permutations","upper",NA
"135","15","3","STAN","ECR","standard","permutations","upper",NA
"136","16","3","STAN","ECR","standard","permutations","upper",NA
"137","17","3","STAN","ECR","standard","permutations","upper",NA
"138","18","3","STAN","ECR","standard","permutations","upper",NA
"139","19","3","STAN","ECR","standard","permutations","upper",NA
"140","20","3","STAN","ECR","standard","permutations","upper",NA
"141","1","4","STAN","ECR","standard","permutations","upper",NA
"142","2","4","STAN","ECR","standard","permutations","upper",NA
"143","3","4","STAN","ECR","standard","permutations","upper",NA
"144","4","4","STAN","ECR","standard","permutations","upper",NA
"145","5","4","STAN","ECR","standard","permutations","upper",NA
"146","6","4","STAN","ECR","standard","permutations","upper",NA
"147","7","4","STAN","ECR","standard","permutations","upper",NA
"148","8","4","STAN","ECR","standard","permutations","upper",NA
"149","9","4","STAN","ECR","standard","permutations","upper",NA
"150","10","4","STAN","ECR","standard","permutations","upper",NA
"151","11","4","STAN","ECR","standard","permutations","upper",NA
"152","12","4","STAN","ECR","standard","permutations","upper",NA
"153","13","4","STAN","ECR","standard","permutations","upper",NA
"154","14","4","STAN","ECR","standard","permutations","upper",NA
"155","15","4","STAN","ECR","standard","permutations","upper",NA
"156","16","4","STAN","ECR","standard","permutations","upper",NA
"157","17","4","STAN","ECR","standard","permutations","upper",NA
"158","18","4","STAN","ECR","standard","permutations","upper",NA
"159","19","4","STAN","ECR","standard","permutations","upper",NA
"160","20","4","STAN","ECR","standard","permutations","upper",NA
"161","1","5","STAN","ECR","standard","permutations","upper",NA
"162","2","5","STAN","ECR","standard","permutations","upper",NA
"163","3","5","STAN","ECR","standard","permutations","upper",NA
"164","4","5","STAN","ECR","standard","permutations","upper",NA
"165","5","5","STAN","ECR","standard","permutations","upper",NA
"166","6","5","STAN","ECR","standard","permutations","upper",NA
"167","7","5","STAN","ECR","standard","permutations","upper",NA
"168","8","5","STAN","ECR","standard","permutations","upper",NA
"169","9","5","STAN","ECR","standard","permutations","upper",NA
"170","10","5","STAN","ECR","standard","permutations","upper",NA
"171","11","5","STAN","ECR","standard","permutations","upper",NA
"172","12","5","STAN","ECR","standard","permutations","upper",NA
