"","sim","G","sampler","relabalg","ellipsealg","thamesalg","estimate","value"
"94","14","6","JAGS","ECR","standard","simple","upper","-197.936670392485"
"95","15","6","JAGS","ECR","standard","simple","upper","-197.269049188271"
"96","16","6","JAGS","ECR","standard","simple","upper","-197.56247691986"
"97","17","6","JAGS","ECR","standard","simple","upper","-196.432961245187"
"98","18","6","JAGS","ECR","standard","simple","upper","-198.535966678225"
"99","19","6","JAGS","ECR","standard","simple","upper","-198.205299872553"
"100","20","6","JAGS","ECR","standard","simple","upper","-196.358149725536"
"101","1","2","STAN","ECR","standard","simple","upper",NA
"102","2","2","STAN","ECR","standard","simple","upper",NA
"103","3","2","STAN","ECR","standard","simple","upper",NA
"104","4","2","STAN","ECR","standard","simple","upper",NA
"105","5","2","STAN","ECR","standard","simple","upper",NA
"106","6","2","STAN","ECR","standard","simple","upper",NA
"107","7","2","STAN","ECR","standard","simple","upper",NA
"108","8","2","STAN","ECR","standard","simple","upper",NA
"109","9","2","STAN","ECR","standard","simple","upper",NA
"110","10","2","STAN","ECR","standard","simple","upper",NA
"111","11","2","STAN","ECR","standard","simple","upper",NA
"112","12","2","STAN","ECR","standard","simple","upper",NA
"113","13","2","STAN","ECR","standard","simple","upper",NA
"114","14","2","STAN","ECR","standard","simple","upper",NA
"115","15","2","STAN","ECR","standard","simple","upper",NA
"116","16","2","STAN","ECR","standard","simple","upper",NA
"117","17","2","STAN","ECR","standard","simple","upper",NA
"118","18","2","STAN","ECR","standard","simple","upper",NA
"119","19","2","STAN","ECR","standard","simple","upper",NA
"120","20","2","STAN","ECR","standard","simple","upper",NA
"121","1","3","STAN","ECR","standard","simple","upper",NA
"122","2","3","STAN","ECR","standard","simple","upper",NA
"123","3","3","STAN","ECR","standard","simple","upper",NA
"124","4","3","STAN","ECR","standard","simple","upper",NA
"125","5","3","STAN","ECR","standard","simple","upper",NA
"126","6","3","STAN","ECR","standard","simple","upper",NA
"127","7","3","STAN","ECR","standard","simple","upper",NA
"128","8","3","STAN","ECR","standard","simple","upper",NA
"129","9","3","STAN","ECR","standard","simple","upper",NA
"130","10","3","STAN","ECR","standard","simple","upper",NA
"131","11","3","STAN","ECR","standard","simple","upper",NA
"132","12","3","STAN","ECR","standard","simple","upper",NA
"133","13","3","STAN","ECR","standard","simple","upper",NA
"134","14","3","STAN","ECR","standard","simple","upper",NA
"135","15","3","STAN","ECR","standard","simple","upper",NA
"136","16","3","STAN","ECR","standard","simple","upper",NA
"137","17","3","STAN","ECR","standard","simple","upper",NA
"138","18","3","STAN","ECR","standard","simple","upper",NA
"139","19","3","STAN","ECR","standard","simple","upper",NA
"140","20","3","STAN","ECR","standard","simple","upper",NA
"141","1","4","STAN","ECR","standard","simple","upper",NA
"142","2","4","STAN","ECR","standard","simple","upper",NA
"143","3","4","STAN","ECR","standard","simple","upper",NA
"144","4","4","STAN","ECR","standard","simple","upper",NA
"145","5","4","STAN","ECR","standard","simple","upper",NA
"146","6","4","STAN","ECR","standard","simple","upper",NA
"147","7","4","STAN","ECR","standard","simple","upper",NA
"148","8","4","STAN","ECR","standard","simple","upper",NA
"149","9","4","STAN","ECR","standard","simple","upper",NA
"150","10","4","STAN","ECR","standard","simple","upper",NA
"151","11","4","STAN","ECR","standard","simple","upper",NA
"152","12","4","STAN","ECR","standard","simple","upper",NA
"153","13","4","STAN","ECR","standard","simple","upper",NA
"154","14","4","STAN","ECR","standard","simple","upper",NA
"155","15","4","STAN","ECR","standard","simple","upper",NA
"156","16","4","STAN","ECR","standard","simple","upper",NA
"157","17","4","STAN","ECR","standard","simple","upper",NA
"158","18","4","STAN","ECR","standard","simple","upper",NA
"159","19","4","STAN","ECR","standard","simple","upper",NA
"160","20","4","STAN","ECR","standard","simple","upper",NA
"161","1","5","STAN","ECR","standard","simple","upper",NA
"162","2","5","STAN","ECR","standard","simple","upper",NA
"163","3","5","STAN","ECR","standard","simple","upper",NA
"164","4","5","STAN","ECR","standard","simple","upper",NA
"165","5","5","STAN","ECR","standard","simple","upper",NA
"166","6","5","STAN","ECR","standard","simple","upper",NA
"167","7","5","STAN","ECR","standard","simple","upper",NA
"168","8","5","STAN","ECR","standard","simple","upper",NA
"169","9","5","STAN","ECR","standard","simple","upper",NA
"170","10","5","STAN","ECR","standard","simple","upper",NA
"171","11","5","STAN","ECR","standard","simple","upper",NA
"172","12","5","STAN","ECR","standard","simple","upper",NA
"173","13","5","STAN","ECR","standard","simple","upper",NA
"174","14","5","STAN","ECR","standard","simple","upper",NA
"175","15","5","STAN","ECR","standard","simple","upper",NA
"176","16","5","STAN","ECR","standard","simple","upper",NA
"177","17","5","STAN","ECR","standard","simple","upper",NA
"178","18","5","STAN","ECR","standard","simple","upper",NA
"179","19","5","STAN","ECR","standard","simple","upper",NA
"180","20","5","STAN","ECR","standard","simple","upper",NA
"181","1","6","STAN","ECR","standard","simple","upper",NA
"182","2","6","STAN","ECR","standard","simple","upper",NA
"183","3","6","STAN","ECR","standard","simple","upper",NA
"184","4","6","STAN","ECR","standard","simple","upper",NA
"185","5","6","STAN","ECR","standard","simple","upper",NA
"186","6","6","STAN","ECR","standard","simple","upper",NA
"187","7","6","STAN","ECR","standard","simple","upper",NA
"188","8","6","STAN","ECR","standard","simple","upper",NA
"189","9","6","STAN","ECR","standard","simple","upper",NA
"190","10","6","STAN","ECR","standard","simple","upper",NA
"191","11","6","STAN","ECR","standard","simple","upper",NA
"192","12","6","STAN","ECR","standard","simple","upper",NA
"193","13","6","STAN","ECR","standard","simple","upper",NA
"194","14","6","STAN","ECR","standard","simple","upper",NA
"195","15","6","STAN","ECR","standard","simple","upper",NA
"196","16","6","STAN","ECR","standard","simple","upper",NA
"197","17","6","STAN","ECR","standard","simple","upper",NA
"198","18","6","STAN","ECR","standard","simple","upper",NA
"199","19","6","STAN","ECR","standard","simple","upper",NA
"200","20","6","STAN","ECR","standard","simple","upper",NA
"201","1","2","JAGS","STEPHENS","standard","simple","upper","-198.694195599047"
"202","2","2","JAGS","STEPHENS","standard","simple","upper","-197.687994315154"
"203","3","2","JAGS","STEPHENS","standard","simple","upper","-198.936541069321"
"204","4","2","JAGS","STEPHENS","standard","simple","upper","-197.1175745234"
"205","5","2","JAGS","STEPHENS","standard","simple","upper","-197.069459596423"
"206","6","2","JAGS","STEPHENS","standard","simple","upper","-198.199610605771"
"207","7","2","JAGS","STEPHENS","standard","simple","upper","-198.229596957274"
"208","8","2","JAGS","STEPHENS","standard","simple","upper","-198.683115581189"
"209","9","2","JAGS","STEPHENS","standard","simple","upper","-199.115489150034"
"210","10","2","JAGS","STEPHENS","standard","simple","upper","-197.428809097527"
"211","11","2","JAGS","STEPHENS","standard","simple","upper","-197.682085000213"
"212","12","2","JAGS","STEPHENS","standard","simple","upper","-197.02889594587"
"213","13","2","JAGS","STEPHENS","standard","simple","upper","-198.759764564004"
"214","14","2","JAGS","STEPHENS","standard","simple","upper","-197.491592540069"
"215","15","2","JAGS","STEPHENS","standard","simple","upper","-199.102975108018"
"216","16","2","JAGS","STEPHENS","standard","simple","upper","-198.839121661962"
"217","17","2","JAGS","STEPHENS","standard","simple","upper","-198.418842269678"
"218","18","2","JAGS","STEPHENS","standard","simple","upper","-199.041274802486"
"219","19","2","JAGS","STEPHENS","standard","simple","upper","-196.901850975856"
"220","20","2","JAGS","STEPHENS","standard","simple","upper","-196.996500967532"
"221","1","3","JAGS","STEPHENS","standard","simple","upper","-197.373963869112"
"222","2","3","JAGS","STEPHENS","standard","simple","upper","-197.423723505684"
"223","3","3","JAGS","STEPHENS","standard","simple","upper","-197.460016786724"
"224","4","3","JAGS","STEPHENS","standard","simple","upper","-195.608573022047"
"225","5","3","JAGS","STEPHENS","standard","simple","upper","-195.673956911213"
"226","6","3","JAGS","STEPHENS","standard","simple","upper","-197.204978829669"
"227","7","3","JAGS","STEPHENS","standard","simple","upper","-195.679875194662"
"228","8","3","JAGS","STEPHENS","standard","simple","upper","-195.618119988169"
"229","9","3","JAGS","STEPHENS","standard","simple","upper","-196.391551554725"
"230","10","3","JAGS","STEPHENS","standard","simple","upper","-196.153750890059"
"231","11","3","JAGS","STEPHENS","standard","simple","upper","-195.567780196513"
"232","12","3","JAGS","STEPHENS","standard","simple","upper","-197.048183749784"
"233","13","3","JAGS","STEPHENS","standard","simple","upper","-196.581607030212"
"234","14","3","JAGS","STEPHENS","standard","simple","upper","-196.439780529677"
"235","15","3","JAGS","STEPHENS","standard","simple","upper","-196.756364281695"
"236","16","3","JAGS","STEPHENS","standard","simple","upper","-197.07032466372"
"237","17","3","JAGS","STEPHENS","standard","simple","upper","-197.66957424818"
"238","18","3","JAGS","STEPHENS","standard","simple","upper","-196.888299408031"
"239","19","3","JAGS","STEPHENS","standard","simple","upper","-197.067512430332"
"240","20","3","JAGS","STEPHENS","standard","simple","upper","-195.678942950471"
"241","1","4","JAGS","STEPHENS","standard","simple","upper","-197.50679176812"
"242","2","4","JAGS","STEPHENS","standard","simple","upper","-196.03495575766"
"243","3","4","JAGS","STEPHENS","standard","simple","upper","-197.094462164231"
"244","4","4","JAGS","STEPHENS","standard","simple","upper","-196.373360194928"
"245","5","4","JAGS","STEPHENS","standard","simple","upper","-196.044538886857"
"246","6","4","JAGS","STEPHENS","standard","simple","upper","-197.865645781644"
"247","7","4","JAGS","STEPHENS","standard","simple","upper","-196.591694429007"
"248","8","4","JAGS","STEPHENS","standard","simple","upper","-196.895265545804"
"249","9","4","JAGS","STEPHENS","standard","simple","upper","-197.407777902034"
"250","10","4","JAGS","STEPHENS","standard","simple","upper","-195.940613549704"
"251","11","4","JAGS","STEPHENS","standard","simple","upper","-197.181974337736"
"252","12","4","JAGS","STEPHENS","standard","simple","upper","-197.538384525582"
"253","13","4","JAGS","STEPHENS","standard","simple","upper","-197.089197085005"
"254","14","4","JAGS","STEPHENS","standard","simple","upper","-196.835695108927"
"255","15","4","JAGS","STEPHENS","standard","simple","upper","-195.995649906075"
"256","16","4","JAGS","STEPHENS","standard","simple","upper","-196.946366722694"
"257","17","4","JAGS","STEPHENS","standard","simple","upper","-197.70236867892"
"258","18","4","JAGS","STEPHENS","standard","simple","upper","-195.762609564642"
"259","19","4","JAGS","STEPHENS","standard","simple","upper","-196.272480905993"
"260","20","4","JAGS","STEPHENS","standard","simple","upper","-197.748136171891"
"261","1","5","JAGS","STEPHENS","standard","simple","upper","-196.931510293812"
"262","2","5","JAGS","STEPHENS","standard","simple","upper","-197.353208141632"
"263","3","5","JAGS","STEPHENS","standard","simple","upper","-195.847587894005"
"264","4","5","JAGS","STEPHENS","standard","simple","upper","-198.072151830889"
"265","5","5","JAGS","STEPHENS","standard","simple","upper","-197.291710625128"
"266","6","5","JAGS","STEPHENS","standard","simple","upper","-196.766289977017"
"267","7","5","JAGS","STEPHENS","standard","simple","upper","-196.502941476505"
"268","8","5","JAGS","STEPHENS","standard","simple","upper","-196.439802134742"
"269","9","5","JAGS","STEPHENS","standard","simple","upper","-198.003314305622"
"270","10","5","JAGS","STEPHENS","standard","simple","upper","-196.306926987214"
"271","11","5","JAGS","STEPHENS","standard","simple","upper","-197.315151910172"
"272","12","5","JAGS","STEPHENS","standard","simple","upper","-196.396396431321"
"273","13","5","JAGS","STEPHENS","standard","simple","upper","-195.993951392775"
"274","14","5","JAGS","STEPHENS","standard","simple","upper","-195.789768764302"
"275","15","5","JAGS","STEPHENS","standard","simple","upper","-197.356361627171"
"276","16","5","JAGS","STEPHENS","standard","simple","upper","-197.077361359867"
"277","17","5","JAGS","STEPHENS","standard","simple","upper","-197.607003128162"
"278","18","5","JAGS","STEPHENS","standard","simple","upper","-196.957583083761"
"279","19","5","JAGS","STEPHENS","standard","simple","upper","-196.676545938989"
"280","20","5","JAGS","STEPHENS","standard","simple","upper","-196.813389134689"
"281","1","6","JAGS","STEPHENS","standard","simple","upper","-197.132041440991"
"282","2","6","JAGS","STEPHENS","standard","simple","upper","-197.153023303796"
"283","3","6","JAGS","STEPHENS","standard","simple","upper","-196.65442947268"
"284","4","6","JAGS","STEPHENS","standard","simple","upper","-198.122618540977"
"285","5","6","JAGS","STEPHENS","standard","simple","upper","-196.31330343404"
"286","6","6","JAGS","STEPHENS","standard","simple","upper","-197.866129005633"
"287","7","6","JAGS","STEPHENS","standard","simple","upper","-197.315896454073"
"288","8","6","JAGS","STEPHENS","standard","simple","upper","-196.64700364076"
"289","9","6","JAGS","STEPHENS","standard","simple","upper","-197.027102283522"
"290","10","6","JAGS","STEPHENS","standard","simple","upper","-197.044893378479"
"291","11","6","JAGS","STEPHENS","standard","simple","upper","-196.429118689262"
"292","12","6","JAGS","STEPHENS","standard","simple","upper","-196.115902383637"
"293","13","6","JAGS","STEPHENS","standard","simple","upper","-197.310337518576"
"294","14","6","JAGS","STEPHENS","standard","simple","upper","-197.125490093096"
"295","15","6","JAGS","STEPHENS","standard","simple","upper","-197.251295965265"
"296","16","6","JAGS","STEPHENS","standard","simple","upper","-197.37171808354"
"297","17","6","JAGS","STEPHENS","standard","simple","upper","-196.671489332374"
"298","18","6","JAGS","STEPHENS","standard","simple","upper","-198.31340855042"
"299","19","6","JAGS","STEPHENS","standard","simple","upper","-198.411699973672"
"300","20","6","JAGS","STEPHENS","standard","simple","upper","-196.456858986413"
"301","1","2","STAN","STEPHENS","standard","simple","upper","-198.884323394257"
"302","2","2","STAN","STEPHENS","standard","simple","upper","-198.445445297117"
"303","3","2","STAN","STEPHENS","standard","simple","upper","-197.459534759833"
"304","4","2","STAN","STEPHENS","standard","simple","upper","-198.085045312579"
"305","5","2","STAN","STEPHENS","standard","simple","upper","-197.743979084126"
"306","6","2","STAN","STEPHENS","standard","simple","upper","-197.551902732925"
"307","7","2","STAN","STEPHENS","standard","simple","upper","-198.271411675725"
"308","8","2","STAN","STEPHENS","standard","simple","upper","-198.832832540566"
"309","9","2","STAN","STEPHENS","standard","simple","upper","-197.792486455735"
"310","10","2","STAN","STEPHENS","standard","simple","upper","-198.293768362711"
"311","11","2","STAN","STEPHENS","standard","simple","upper","-198.881454018306"
"312","12","2","STAN","STEPHENS","standard","simple","upper","-196.913917804371"
"313","13","2","STAN","STEPHENS","standard","simple","upper","-196.97083040647"
"314","14","2","STAN","STEPHENS","standard","simple","upper","-198.823259718106"
"315","15","2","STAN","STEPHENS","standard","simple","upper","-197.0376003976"
"316","16","2","STAN","STEPHENS","standard","simple","upper","-198.632579115043"
"317","17","2","STAN","STEPHENS","standard","simple","upper","-197.278314471237"
"318","18","2","STAN","STEPHENS","standard","simple","upper","-197.815295027104"
"319","19","2","STAN","STEPHENS","standard","simple","upper","-198.902261922356"
"320","20","2","STAN","STEPHENS","standard","simple","upper","-198.540540272101"
"321","1","3","STAN","STEPHENS","standard","simple","upper","-196.618098266731"
"322","2","3","STAN","STEPHENS","standard","simple","upper","-195.913292305976"
"323","3","3","STAN","STEPHENS","standard","simple","upper","-196.882372041557"
"324","4","3","STAN","STEPHENS","standard","simple","upper","-195.857332379398"
"325","5","3","STAN","STEPHENS","standard","simple","upper","-196.973752874271"
"326","6","3","STAN","STEPHENS","standard","simple","upper","-197.524449542714"
"327","7","3","STAN","STEPHENS","standard","simple","upper","-196.714541043107"
"328","8","3","STAN","STEPHENS","standard","simple","upper","-195.967715088158"
"329","9","3","STAN","STEPHENS","standard","simple","upper","-197.180850727672"
"330","10","3","STAN","STEPHENS","standard","simple","upper","-197.573682820989"
"331","11","3","STAN","STEPHENS","standard","simple","upper","-196.455092735297"
"332","12","3","STAN","STEPHENS","standard","simple","upper","-197.259314906018"
"333","13","3","STAN","STEPHENS","standard","simple","upper","-196.567664582854"
"334","14","3","STAN","STEPHENS","standard","simple","upper","-195.677604356583"
"335","15","3","STAN","STEPHENS","standard","simple","upper","-195.899112617873"
"336","16","3","STAN","STEPHENS","standard","simple","upper","-196.240309668552"
"337","17","3","STAN","STEPHENS","standard","simple","upper","-197.312216160354"
"338","18","3","STAN","STEPHENS","standard","simple","upper","-195.864233707557"
"339","19","3","STAN","STEPHENS","standard","simple","upper","-196.142416928878"
"340","20","3","STAN","STEPHENS","standard","simple","upper","-195.77137355335"
"341","1","4","STAN","STEPHENS","standard","simple","upper","-197.000598778124"
"342","2","4","STAN","STEPHENS","standard","simple","upper","-195.693779537578"
"343","3","4","STAN","STEPHENS","standard","simple","upper","-197.296120431011"
"344","4","4","STAN","STEPHENS","standard","simple","upper","-195.832554324817"
"345","5","4","STAN","STEPHENS","standard","simple","upper","-197.136338469017"
"346","6","4","STAN","STEPHENS","standard","simple","upper","-197.629297487495"
"347","7","4","STAN","STEPHENS","standard","simple","upper","-197.031357558462"
"348","8","4","STAN","STEPHENS","standard","simple","upper","-196.15134445983"
"349","9","4","STAN","STEPHENS","standard","simple","upper","-197.556143544228"
"350","10","4","STAN","STEPHENS","standard","simple","upper","-197.517544746754"
"351","11","4","STAN","STEPHENS","standard","simple","upper","-196.305026408544"
"352","12","4","STAN","STEPHENS","standard","simple","upper","-197.358389350109"
"353","13","4","STAN","STEPHENS","standard","simple","upper","-196.211258253624"
"354","14","4","STAN","STEPHENS","standard","simple","upper","-197.054792014918"
"355","15","4","STAN","STEPHENS","standard","simple","upper","-197.390043613331"
"356","16","4","STAN","STEPHENS","standard","simple","upper","-197.384046699318"
"357","17","4","STAN","STEPHENS","standard","simple","upper","-197.290808273792"
"358","18","4","STAN","STEPHENS","standard","simple","upper","-196.256863006779"
"359","19","4","STAN","STEPHENS","standard","simple","upper","-195.894040109957"
"360","20","4","STAN","STEPHENS","standard","simple","upper","-197.020668643146"
"361","1","5","STAN","STEPHENS","standard","simple","upper","-197.554229650643"
"362","2","5","STAN","STEPHENS","standard","simple","upper","-196.755747991717"
"363","3","5","STAN","STEPHENS","standard","simple","upper","-196.564241104034"
"364","4","5","STAN","STEPHENS","standard","simple","upper","-196.359312981896"
"365","5","5","STAN","STEPHENS","standard","simple","upper","-196.774669083874"
"366","6","5","STAN","STEPHENS","standard","simple","upper","-197.321572507104"
"367","7","5","STAN","STEPHENS","standard","simple","upper","-196.452592044552"
"368","8","5","STAN","STEPHENS","standard","simple","upper","-195.828655793524"
"369","9","5","STAN","STEPHENS","standard","simple","upper","-197.989674351224"
"370","10","5","STAN","STEPHENS","standard","simple","upper","-196.696297558572"
"371","11","5","STAN","STEPHENS","standard","simple","upper","-197.150074853267"
"372","12","5","STAN","STEPHENS","standard","simple","upper","-196.397233872839"
"373","13","5","STAN","STEPHENS","standard","simple","upper","-196.368563696968"
"374","14","5","STAN","STEPHENS","standard","simple","upper","-196.50348899656"
"375","15","5","STAN","STEPHENS","standard","simple","upper","-196.765032792569"
"376","16","5","STAN","STEPHENS","standard","simple","upper","-196.280965748836"
"377","17","5","STAN","STEPHENS","standard","simple","upper","-197.67549410407"
"378","18","5","STAN","STEPHENS","standard","simple","upper","-197.56425327006"
"379","19","5","STAN","STEPHENS","standard","simple","upper","-197.21267889309"
"380","20","5","STAN","STEPHENS","standard","simple","upper","-196.054604171956"
"381","1","6","STAN","STEPHENS","standard","simple","upper","-196.439559547884"
"382","2","6","STAN","STEPHENS","standard","simple","upper","-197.944076083678"
"383","3","6","STAN","STEPHENS","standard","simple","upper","-197.817174890598"
"384","4","6","STAN","STEPHENS","standard","simple","upper","-196.594953938513"
"385","5","6","STAN","STEPHENS","standard","simple","upper","-196.938761155457"
"386","6","6","STAN","STEPHENS","standard","simple","upper","-196.470880663149"
"387","7","6","STAN","STEPHENS","standard","simple","upper","-196.806452851588"
"388","8","6","STAN","STEPHENS","standard","simple","upper","-198.010772710837"
"389","9","6","STAN","STEPHENS","standard","simple","upper","-197.262753201587"
"390","10","6","STAN","STEPHENS","standard","simple","upper","-197.958480679006"
"391","11","6","STAN","STEPHENS","standard","simple","upper","-197.528902107295"
"392","12","6","STAN","STEPHENS","standard","simple","upper","-197.024939430626"
"393","13","6","STAN","STEPHENS","standard","simple","upper","-196.596390216425"
"394","14","6","STAN","STEPHENS","standard","simple","upper","-197.696417982069"
"395","15","6","STAN","STEPHENS","standard","simple","upper","-196.390955938614"
"396","16","6","STAN","STEPHENS","standard","simple","upper","-197.062575516232"
"397","17","6","STAN","STEPHENS","standard","simple","upper","-197.40740355827"
"398","18","6","STAN","STEPHENS","standard","simple","upper","-197.183830867343"
"399","19","6","STAN","STEPHENS","standard","simple","upper","-196.801933110737"
"400","20","6","STAN","STEPHENS","standard","simple","upper","-196.914108496785"
"401","1","2","JAGS","ECR","standard","permutations","upper","-198.694195599047"
"402","2","2","JAGS","ECR","standard","permutations","upper","-197.687994315154"
"403","3","2","JAGS","ECR","standard","permutations","upper","-198.936541069321"
"404","4","2","JAGS","ECR","standard","permutations","upper","-197.1175745234"
"405","5","2","JAGS","ECR","standard","permutations","upper","-197.069459596423"
